Rank	Frequency	UUID	Row Text
3014	1	689c-8e64-fe48-c90e	An example of replacing a natural resource is planting new trees where a forest once stood
3015	1	b9f5-6d14-f72a-e2d8	intensity of sunlight is similar to amount of sunlight
3016	1	0057-a547-0990-9dc8	Rachel is a name for a human
3017	1	ef7d-a3f3-6200-ea1d	coal mine is a source of coal under the ground
3018	1	2dfb-6788-d488-9db9	sleet is made of ice
3019	1	df77-f13b-3062-2718	a computer controls a robot
3020	1	b5bc-352e-4a8b-390a	an enemy is a threat
3021	1	378e-3052-e593-d80f	underwater means below water
3022	1	a5c9-d7a4-8421-bb2e	a telephone is used for communication by humans over long distances
3023	1	450b-d1e6-d7b9-2e6b	developing means creating ; inventing
3024	1	ef15-b075-f83c-0d12	a learned characteristic is a kind of acquired characteristic
3025	1	9ed6-4e8f-abab-588b	the sun setting is a kind of event
3026	1	8e36-e48b-2059-4d7e	when a habitat can support living things , living things can live in that habitat
3027	1	4893-838a-20f6-131a	performing a task in less time ; more quickly ; faster has a positive impact on a person 's life
3028	1	e470-cbe8-086a-5af9	nectar is used for attracting pollinators by plants
3029	1	58d8-a151-b408-ed86	a woodpecker is a kind of bird
3030	1	599c-ede6-83d2-982c	race is when vehicles ; humans compete
3031	1	9ebc-df4f-9e45-4e81	weed is a kind of plant
3032	1	24a0-6fbe-c3ae-d6ee	investigating the life cycle of a living thing requires that living thing to be alive
3033	1	4102-0f86-9ded-c9db	popping popcorn requires adding heat
3034	1	c56e-40f5-5a3e-12cf	lightning is a kind of electricity
3035	1	5c99-06b6-7e1e-f150	rocks sometimes contain aluminum
3036	1	7f82-8a0b-a3e0-26c5	having a variety of foods available has a positive impact on people 's lives
3037	1	e58d-03a1-b94d-942d	a forest is a kind of ecosystem
3038	1	d08f-9cae-ad54-80ed	lead is a kind of element
3039	1	c709-83dd-975c-b05d	carnivores ; omnivores ; herbivores are a kind of animal
3040	1	bfb3-7ce9-4ba1-f302	as ability to preserve food increases , the ability to transport food increases
3041	1	a5ab-7b37-388a-1cd3	a burner is a kind of object ; surface
3042	1	beff-ff71-8de4-ab6c	if it is night then the sun has set
3043	1	d11b-6226-0d28-588a	role means function
3044	1	fc7f-85ca-56d1-d7d5	June is during the winter in the southern hemisphere
3045	1	3aee-f557-db87-1cce	a poisonous animal is dangerous
3046	1	9dc0-0ba6-dbb6-4ff7	an animal 's shell is usually hard for protection
3047	1	9d4d-3bfb-e0e2-d068	as distance from an object decreases , the the pull of gravity on that object increases
3048	1	a183-80da-46fa-bfa6	largest means greatest in size
3049	1	5404-b04d-d0b2-6309	dissolving is similar to breaking down
3050	1	e83b-d62e-d528-3e9f	a battery converts chemical energy into electrical energy
3051	1	e7b5-57e9-5c3c-fe3e	An example of moisture is water vapor in the atmosphere
3052	1	02c9-a481-d0f4-91e2	a tire is a kind of object
3053	1	628f-08c3-a230-9bfb	shrinking decreases size
3054	1	6082-9118-c751-6e77	the continental shelf is made of sediment
3055	1	b743-7f87-6ef1-0c33	absorbing is similar to obtaining
3056	1	5779-3c33-cd1f-22be	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else
3057	1	735e-0af2-549d-a69a	tearing an object changes that object 's shape
3058	1	a0cd-50c8-3696-fc4b	a moon is a kind of satellite
3059	1	e9c2-0dff-cd9a-7fb0	phloem transports materials through the plant
3060	1	02bb-bdf2-f936-d557	cooking is a kind of skill for preparing food
3061	1	df29-0616-310f-2dfb	bacteria can help digest food in humans
3062	1	6c79-d646-1afb-b6d3	shaking is similar to shifting
3063	1	b69b-8370-5427-d472	claws are used to catch prey by some predators
3064	1	4e56-9d2d-b627-f9b1	history means the past
3065	1	cb74-f946-eef2-3ca5	as the temperature of a liquid increases , the rate of evaporation of that liquid will increase
3066	1	fe8e-2342-2aef-4d7b	a magnet is a kind of object
3067	1	ec3f-17e4-7f87-3757	days are a kind of unit for measuring time
3068	1	54ff-9d51-da43-e4f9	denser liquids settle below liquids that are less dense
3069	1	0390-aada-ce88-9040	Pluto is the planet that is ninth closest to the Sun
3070	1	e5d5-338d-263a-84af	a statue is a kind of object
3071	1	e7d7-9393-dfc8-98bf	a lung is a kind of organ for breathing air
3072	1	b3f4-9bbd-487f-8643	contact between rocks over long periods of time causes rocks to smooth
3073	1	7b54-c9f1-86da-860b	Earth is made of rock
3074	1	1a35-de3e-b0e2-6c27	water is often brackish in an estuary
3075	1	c391-0831-1f0b-44bd	thunder is loud
3076	1	502e-c41f-5433-c8e0	a satellite is a kind of instrument for observing Earth 's surface
3077	1	b063-0f0c-d332-f233	a mouse is a kind of herbivore
3078	1	79a0-2fbc-edea-0d50	the temperature of steam decreases after a shower
3079	1	eaf4-5337-8873-bbfd	become warm means get warm
3080	1	5b55-22e0-6067-9ef9	a human requires sleep ; rest to be healthy
3081	1	7216-d3cd-86c1-feb2	as the size of a flower increases , the number of pollinators it will attract increases
3082	1	86e5-19ca-feae-6f08	if a new predator begins eating prey then the population of that prey will decrease
3083	1	520b-e7fa-600c-d598	to turn means to convert
3084	1	7fb4-c254-3d90-1dad	pushing a button sometimes completes a circuit
3085	1	182e-6373-acc4-bde3	an airplane is a kind of vehicle
3086	1	713f-c921-0aa1-83b1	a beach is usually part of an island
3087	1	10c6-c21e-e54b-036e	painting an object a color causes that object to be that color
3088	1	5ba5-3b3b-be24-624e	a chameleon is a kind of lizard
3089	1	c683-bb38-4c18-252e	grass is green in color
3090	1	a55e-c07d-73ca-c903	treating water is used to remove harmful substances before drinking
3091	1	fa4f-3f9e-68fa-1b79	a sprinkler requires water to function
3092	1	4915-3ab4-00ec-853a	plants are a source of biofuel
3093	1	97b0-e2cc-4f43-104c	made of is similar to is built from
3094	1	72ff-2eab-68e0-8a25	if two animals have the same food source then those two animals compete for food
3095	1	60af-59d3-7477-0429	water vapor is invisible
3096	1	32c3-1671-f654-dcb7	a park is a kind of environment
3097	1	1d74-9f8e-c159-135b	a kazoo is a kind of musical instrument
3098	1	b5e2-521d-a85b-cf14	bright means bright ; light in color
3099	1	a5d3-7ecf-1243-bfaf	to scrape means to scratch
3100	1	0b3c-fc05-1642-9a08	a beach ball contains gas
3101	1	0dcc-b257-e058-6cab	an hawk is a kind of predator
3102	1	5bbc-9036-eb08-38e4	a trick is a learned behavior
3103	1	89ba-3b1e-ab64-a131	taller means greater in height ; size
3104	1	9fdf-4f3f-bffe-4d9e	electrical signals are made of electrical energy
3105	1	962d-0077-a672-6f9a	most chloroplasts are found in the leaves of a plant
3106	1	75e6-403b-649e-cce8	Earth 's plates means tectonic plates
3107	1	711b-f9b6-6a97-e3c5	a wall is a kind of object
3108	1	7909-f63c-46d1-01a2	heat can change the state of matter
3109	1	0227-a355-b0ea-7d16	a table is hard
3110	1	4e04-6bfe-af71-63de	soil loss causes grooves in soil
3111	1	3145-65d7-0fa3-5857	a carbonated beverage contains dissolved carbon dioxide
3112	1	4048-519e-258b-fc12	pushing something can cause that something to move
3113	1	a79c-b257-b8ca-1792	a thermal insulator can be used to remove hot objects from a heat source
3114	1	32e0-8371-00dd-9561	when two objects are touched ; are contacted ; move against each other , sound is produced
3115	1	2634-87a7-680f-783f	liquid carrying an object means liquid pushing an object
3116	1	e7e5-9b6d-441f-0c33	if an organism can live in an environment then that organism can withstand the conditions of that environment
3117	1	770f-d0fc-866d-3bfc	organic matter has a positive impact on soil texture
3118	1	3c44-d616-941a-c427	if battery in an electromagnet is active then the nail in the electromagnet will become magnetic
3119	1	88e2-d46b-7846-8a0f	seeking something means trying to find ; searching for something
3120	1	a75a-0651-9b8b-f087	corn is a kind of crop
3121	1	b730-7885-2f2d-d737	transferring is similar to giving
3122	1	d2aa-4c9c-560c-3a18	ancient means a long time ago
3123	1	f8d3-af6e-2588-10ed	a kit usually contains materials for assembling something
3124	1	9cf1-bc5a-d350-5541	a lemon tree is a kind of plant
3125	1	b765-cf69-400e-c8f8	density is a property of an object ; a substance and includes ordered values of dense ; not dense
3126	1	cc75-33b5-2674-6153	as a source of light moves directly overhead of an object , the size of the shadow of that object will decrease
3127	1	c9d3-5f71-de10-2716	fresh food is usually safe to eat
3128	1	7b61-fb62-acc5-a7f7	temperature drop means cooling
3129	1	0c65-2951-3811-5f6a	national parks have a positive impact on ecosystems
3130	1	8aa2-0c1b-b931-8897	wind is an inexhaustible resource
3131	1	061d-1ec6-4a7a-9f63	a full moon is a kind of phase of the moon
3132	1	5b81-70c7-64a4-f7d2	An example of recycling is using an object to make a new object
3133	1	23d7-086d-e662-8fd4	tearing means changing a whole into pieces
3134	1	4403-18c7-fe87-324a	generally means usually
3135	1	3fe8-0138-a901-b730	a wall is a kind of surface
3136	1	6fd9-d55b-fc58-c9fb	a frog is the mature form of a ; adult form of a tadpole
3137	1	ce79-c43f-0cd5-ed36	gills are a part of trout
3138	1	e235-691b-277c-0115	some dogs are trained to bark when they want to go outside
3139	1	c71e-1ca8-f860-d544	a homeowner is a kind of human
3140	1	3e94-319d-1ebd-7f62	the night time is part of one day
3141	1	c6fe-fa08-c304-093d	adaptation is when an organism develops a trait over time for survival
3142	1	3135-2d8c-c018-d7a3	An example of a change in the Earth is an ocean becoming a wooded area
3143	1	842b-2665-a2a2-db2a	mineral graphite is used for making pencil lead
3144	1	3f74-37d4-8002-21b5	a planet 's moon is smaller than that planet
3145	1	1e72-b6e0-1d37-50bc	a soda can is made of aluminum
3146	1	9f3e-4023-78c7-8a78	protein is used to repair cells by the human body
3147	1	51f0-0d35-bbcf-e84c	the tundra is a kind of environment
3148	1	a54c-e068-073d-def8	quartz scratches glass easily
3149	1	8756-ec9f-0c1b-21c4	tearing means ripping
3150	1	c387-e1db-3890-b003	mechanical weathering is when rocks are broken down by mechanical means
3151	1	a34e-4c17-742b-c689	an tennis ball contains air
3152	1	372c-33f0-9c33-ca83	if gas is heated then that gas will expand ; rise
3153	1	01ef-1f36-abd7-9217	if an object is kicked then force is exerted on that object
3154	1	1746-191d-7cbb-69c4	a rubber band snapping causes the particles in the rubber band to vibrate
3155	1	eb57-77f3-768e-3665	gold is a kind of element
3156	1	aaca-ecc3-87f7-2658	luster is a property of an object ; a material
3157	1	c0ed-56a6-3f1e-b66c	a pumpkin contains seeds
3158	1	8dea-02f7-6e65-1e16	blowing air into a whistle causes air to vibrate inside the whistle
3159	1	67f8-8d07-5f59-bdd7	if an organism dies then that organism can not perform its function
3160	1	20a9-322c-b21a-3d54	grey clouds are a source of precipitation
3161	1	3094-7527-5f14-50d9	an landfill is a source of pollution
3162	1	953f-d41b-9aaa-8319	as the amount of food an animal eats decreases , that organism will become thinner
3163	1	e555-8a18-84d7-15d1	if something undergoes a physical change then the physical properties of that something will change
3164	1	42ce-3b05-116d-407e	a frog is an adult form of a frog
3165	1	ec15-e4f0-40a4-c40e	national parks limit mining ; logging ; hunting
3166	1	0a09-b3f6-9229-9511	polluting is a kind of activity
3167	1	6a9b-a68f-335c-2a51	the continental shelf is a part of the ocean
3168	1	36ae-d6e7-a33f-027a	a kitten is a young ; baby cat
3169	1	3c3e-7d13-68ab-07e8	a single-cell organism can survive without the help of other cells
3170	1	a6aa-97ee-2e4a-a9ad	birds sometimes eat berries ; seeds
3171	1	db10-d17e-ddad-d545	to exhale means to release
3172	1	def7-ed0f-010f-6b59	as the time a tool lasts increases , the number of tools discarded will decrease
3173	1	90eb-c6e6-6838-9461	garbage means waste
3174	1	eb0b-95a3-aff8-8642	as the amount of fragrance of a flower increases , the number of pollinators it will attract increases
3175	1	c9b6-9842-0512-9757	potential energy changes to kinetic energy through motion
3176	1	55ad-db14-b2ff-b591	broken bones require healing
3177	1	18ae-ab97-6895-4128	inspect ; observe means examine
3178	1	2f7f-0fc8-1863-e47e	the atmosphere is a part of nature ; the environment
3179	1	ab36-04fe-8434-d4b1	pedals are part of a bicycle for pedalling
3180	1	c546-7b47-1430-cf87	rainwater is a kind of water
3181	1	09b3-241c-6fef-fc12	a tag is used for monitoring an object 's location
3182	1	ce51-5349-0ca9-75bc	tidal energy is a kind of alternative energy resource
3183	1	eed1-42ea-b787-ef59	the night has cooler temperatures than the day
3184	1	7bad-20c8-07a5-3c70	leave alone means not change
3185	1	25b0-7443-ab60-3f06	plugging many appliances into one outlet is dangerous
3186	1	5c37-d156-8278-962c	An example of an instinctive behavior is a baby bird pecking at its shell to hatch
3187	1	6b71-8219-5039-8487	to advance means to improve
3188	1	4e5c-f633-ddba-96d9	adult amphibians live on land
3189	1	42cf-e041-f00a-7e84	DNA is a vehicle for passing inherited characteristics from parent to offspring
3190	1	e7b4-d306-73b9-3098	tapping two objects together causes the particles in those objects to vibrate
3191	1	6759-1566-8f4d-4da2	a submarine is a kind of object
3192	1	0ff9-ee4f-fb1b-1627	ecological succession means entire communities in an ecosystem change over time
3193	1	d889-0f71-bb81-1eb9	using tools is a learned characteristic
3194	1	8790-617a-a7ad-96c6	a reptile is cold-blooded
3195	1	7c75-71b3-613b-1ebe	a tide is a kind of natural event
3196	1	3c48-fb11-4242-974f	rest is a kind of activity
3197	1	baab-4c47-5b41-9747	a nature preserve is a kind of protected area
3198	1	cb34-8d7a-925d-de4d	the Moon is Earth 's moon
3199	1	207c-b6d1-fb72-d730	scavengers eat dead organisms
3200	1	5271-6a22-214e-2847	fire destroys plants in an environment
3201	1	e361-414d-74d6-ee0e	damming a river can cause a lake to form
3202	1	01d7-f9ae-c6ee-8eee	coral lives in the ocean ; warm water
3203	1	b526-c089-192f-6567	a retina is part of an eye for sensing light
3204	1	2959-08e0-430c-0f87	ice is a kind of object
3205	1	be77-688f-2811-7d8f	Alaska is a state located in the United States of America
3206	1	ed6a-03de-1756-b6bc	a daisy is a kind of flower
3207	1	5154-b206-93fe-b695	a pesticide is infrequently poisonous to humans
3208	1	2b58-eef0-ced3-1aa1	a Western coral snake is a kind of snake
3209	1	a923-adcf-f552-5902	sliding is a kind of movement
3210	1	0100-2f53-c324-81e2	a desk is usually short in height ; in width
3211	1	e5c6-c007-ec45-6843	all animals breathe
3212	1	770d-6c83-0ecd-3e9f	An example of protecting the environment is creating protected areas
3213	1	4ca4-9068-7f5a-d63a	electromagnets can be powered by electricity
3214	1	4e22-86f8-32a0-7375	Earth 's surface is made of rock
3215	1	e7fa-9330-c636-73e3	increase is similar to extend
3216	1	166f-d4e8-1bed-b031	debris can cause harm to an organism
3217	1	912b-606c-6d31-05e3	an iguana is a kind of lizard
3218	1	262d-6ddb-ec8a-5ea7	the excretory system removes waste from the body
3219	1	7f18-4f2c-c82d-c191	incomplete is the opposite of complete
3220	1	9be9-a346-c5bb-8681	camouflage can be used for hunting for prey ; food
3221	1	03a5-9e41-f0e1-1cba	sandy soil is found in dry environments
3222	1	7b89-9ee6-46e3-69f9	a glacier is a kind of body of water
3223	1	2e50-5461-745a-36ee	a boat is similar to a ship
3224	1	d28e-0ebd-8be3-a9d7	a tectonic plate moves along a fault line
3225	1	9209-73ec-9b0b-56a0	looking at bright objects has a negative impact on the eyes
3226	1	7f26-bdb8-7b40-b225	an electron microscope is used for seeing very small objects by making them appear bigger
3227	1	016e-d9e2-b804-44d7	the formation of diamonds occurs beneath the surface of the Earth by carbon being heated and pressured
3228	1	2aa7-4696-710f-dc1b	poisoning an environment means poisoning the organisms in that environment
3229	1	2e56-4666-451b-5894	mica is soft
3230	1	ac3a-0599-cef5-f015	tadpole changes into a frog
3231	1	bb8f-9e8f-0b8b-d4c1	a sifter is a kind of tool for separating mixtures
3232	1	ebf1-9fe9-324d-b205	harming an organism can cause that organism to die
3233	1	0079-9b02-51a6-b9f2	lowest means least in value ; amount ; number
3234	1	c049-ad89-f8b6-65d5	bone cells are a part of the body
3235	1	4331-2b1f-b2b3-343c	to drop means to fall
3236	1	67d8-3f5e-c78b-7cc7	a sea turtle lives in the ocean
3237	1	b253-7987-ac7d-04e6	pouring water onto soil causes that soil to wash away
3238	1	e4d1-f502-402f-4ce9	dumping something in an environment means adding that something to that environment
3239	1	24b3-b5a1-ba81-3488	same means identical ; equal
3240	1	48be-b112-3323-84b6	transport means to move ; to make travel
3241	1	a7fc-71a9-609d-ae33	pollution is a source of pollutants
3242	1	346e-7cc2-f910-5df4	the arctic environment is cold in temperature from being at a northern lattitude below 0 degrees celsius during most of the year
3243	1	8d99-ff62-bcc7-7086	measuring is a kind of observing
3244	1	ce9a-e289-c85f-4580	a wise choice is a good choice
3245	1	d1eb-53c2-e0c6-1431	a reflector is used to reflect light especially on vehicles
3246	1	ffc7-259e-e733-5c0c	the Great Lakes were formed by glaciers moving over the ground
3247	1	21bb-c63e-dd97-390f	as the amount that matter vibrates increases , sound produced increases
3248	1	fff8-5c88-0710-70ae	ice is found in arctic environments
3249	1	e6e9-5116-7ff3-0590	to transfer means to bring ; to get something to
3250	1	8abe-8679-9624-5b42	insects can have a negative impact on crops
3251	1	c035-787b-ecbc-b968	light is a kind of nonliving thing
3252	1	c4fd-cfe9-18c2-214f	shape of the parts of something is a property of that something
3253	1	1875-8ce4-1858-8652	using raw materials increases waste
3254	1	1230-534f-c1fb-8a2a	Pluto is a kind of dwarf planet
3255	1	7632-c932-9c6d-27f0	a light bulb is a part of a lamp
3256	1	124d-89c9-c195-2ea9	oil is a source of energy
3257	1	b817-9d94-9032-10f0	if a tree falls then sunlight becomes available to the surrounding plants
3258	1	f36b-4742-f196-9090	a diatom is a kind of producer
3259	1	a516-6fce-fea3-4280	a moose is a kind of animal
3260	1	7e9a-996d-16bb-0273	something is used for that something 's purpose
3261	1	c583-9b78-1eab-ae77	to be made of means to consist of
3262	1	a10f-b463-32a7-a229	the color of an object can be discovered by looking at that object
3263	1	0de5-48b7-1fb5-acbb	a bad reaction to medicine is a kind of problem
3264	1	f252-528b-78fa-6956	arctic animals live in an arctic environment
3265	1	533c-79f7-8267-e271	water is a kind of object
3266	1	3bbb-b092-18ed-1a8a	data means information
3267	1	ff12-30f0-2d0c-0da9	skidding is a kind of motion
3268	1	4aca-cf16-fcc6-1f79	An example of mechanical energy is an object in motion
3269	1	f506-1d0a-e402-7818	the number of rings in a tree trunk can be used to estimate the age of the tree
3270	1	b2a3-bc18-29f0-d92b	the Appalachians are a kind of mountain range
3271	1	7d18-5634-a307-8207	a dime is a kind of coin
3272	1	1201-f310-a3c3-b88d	to produce means to provide
3273	1	4ba7-d894-3b98-2b11	An example of hunting is an otter cracking open clams with a rock
3274	1	6c80-eaba-4b68-6003	an animal can not use underground water
3275	1	6424-1a31-0f40-5b1b	sand dunes are made of sand
3276	1	632c-7862-a8a3-b10e	a good road has a smooth surface
3277	1	d038-d316-c727-61e8	a user is a kind of person
3278	1	d579-8b7c-067c-da38	birds lay eggs
3279	1	1399-e19b-a5ea-ed76	a jackrabbit is a kind of rabbit
3280	1	7ebb-7a94-af1e-9fa9	a pool is a kind of body of water
3281	1	6b7f-061c-c3e6-7b6a	bats can echolocate
3282	1	3eca-3ce1-9844-cc78	usually a slide is located at a playground
3283	1	72a7-76e4-7f5d-03ab	earthquakes cause rock layers to fold on top of each other
3284	1	5509-45e6-fb83-8003	polluting gasses are a kind of pollution
3285	1	98fe-58e0-bbf4-c401	a vine is a kind of stem
3286	1	2b0c-392f-5a90-0854	as the thickness of an object increases , the resistance to tearing ; to breaking will increase
3287	1	d22b-a7bb-0814-9332	to be formed by is to be the result of
3288	1	8fca-420e-f8ad-082b	ability to undergo a phase change is a property of a substance ; material
3289	1	ba0c-9558-8ad1-d90d	a black-eyed Susan wildflower is a kind of flower
3290	1	9066-bf57-f1ce-0134	An example of weathering is when a plant root grows into a crack in rock
3291	1	cd5c-7dd8-39d6-a94e	if a weed is pulled then that weed is destroyed
3292	1	1769-4bec-1684-3665	the Moon has a rocky terrain
3293	1	617e-4655-cd23-1bc6	as the amount of rain increases in an environment , available sunlight will decrease in that environment
3294	1	5b3a-3202-f15f-57c1	as temperature in the environment increases , the body temperature of a reptile in that environment will increase
3295	1	1676-0dc7-3e9b-615a	a surface is a part of a material
3296	1	bd19-8646-deb7-e368	December is during the summer in the southern hemisphere
3297	1	e809-4443-23c0-ee01	chemicals can be pollutants
3298	1	2f5b-92ef-b906-5fc4	a vehicle inspection is when a person examines a vehicle for safety ; pollution standards
3299	1	04e9-5287-eb58-61cb	returning is similar to bringing
3300	1	b4e7-dad7-cb84-1e31	the number of body parts of an organism is an inherited characteristic
3301	1	3820-b234-4260-797d	as the amount ; size of something increases , the extensive properties of that something will increase
3302	1	ab30-97e0-586f-d18a	society is made of humans
3303	1	89f4-0fad-6afc-2199	iron is a kind of solid
3304	1	a4d7-3501-4254-109e	tool is similar to appliance
3305	1	4d82-5c75-1ac1-abdd	polluting means something poisonous is added to an environment
3306	1	108e-8a75-dafd-6b0e	flowing liquid can push objects
3307	1	852a-f5d6-a737-525f	a plant light is used for help plants by mimicking sunlight
3308	1	10b7-ffcd-cb06-c86d	replacement means something that is replaced
3309	1	adbd-a12d-f086-3af2	the Himalayas were formed by rock folding
3310	1	d9ca-e581-1fad-e095	UV light is a kind of light
3311	1	000b-8380-fb97-aee5	a sunflower is a kind of plant
3312	1	f5ca-b95b-fd83-47d8	seasons cause change to the environment
3313	1	489e-9103-cfb3-9d2e	shelter can protect animals ; humans from weather
3314	1	30eb-7982-028c-4f0f	slipping on ice requires walking on that ice
3315	1	a9c3-ee47-606a-10b5	if a resource is limited in supply then that resource needs to be replaced
3316	1	68c8-0c77-7fa9-5633	magnetism is a kind of physical property
3317	1	dcd7-6da5-3ef6-3998	fake plants use less water than real plants
3318	1	a15e-101d-6fea-e0b6	radiation is a kind of process
3319	1	daf3-3001-4bea-9034	breathing is a kind of process
3320	1	994e-e3fd-47a0-decb	nutrients are a kind of resource
3321	1	b8b1-9da5-1b1d-a2f7	something that happens is a kind of event
3322	1	5c9f-a48a-692d-9500	metallic is similar to shiny
3323	1	a2e1-8d32-c994-cd9c	a telephone is a kind of electrical device for communication
3324	1	e18f-5f8a-04fd-76f7	an earthquake usually occurs over a period of 10 to 30 seconds
3325	1	0a67-4834-1132-d2e9	as the sale of meat grown on farms increases , the sale of meat grown in the wild will decrease
3326	1	995d-01f9-c9a9-9896	living things require respiration to use energy
3327	1	8697-ef37-f85f-edcd	using sturdy materials to build furniture has a positive impact on the use of that furniture
3328	1	1bf4-ea57-b77d-dd0b	as lightness in color of an object increases , the ability of that object to reflect light will increase
3329	1	b9e7-6612-b3bc-264a	as distance from water decreases , humidity will increase
3330	1	0f01-9270-d298-1254	if two objects are apart from each other then matter is between those two objects
3331	1	ecbd-8ae1-ad39-82c9	moving in a circle means moving in a circular motion
3332	1	ad4a-8ca1-6b50-8927	long ears are a part of a rabbit
3333	1	f056-ff9c-c044-c99a	burning is a kind of action
3334	1	2d70-7bf6-5bc2-e3f2	appliance is similar to technology
3335	1	a972-0cbb-3c14-b098	cycles of day and night occur once per day
3336	1	74e3-5983-4e66-f53f	bark is a kind of sound
3337	1	84bb-0231-2480-1c8b	destroying something decreases the amount of that something
3338	1	9f02-a641-79a9-d4ec	gills are a kind of adaptation for getting oxygen underwater
3339	1	2146-8319-8af6-a8e3	alternative fuel is usually a renewable resource
3340	1	563d-53cc-0a8a-e8da	a watch ; clock ; stopwatch is used for measuring time
3341	1	a885-71a9-2e19-c391	arteries ; veins transport nutrients ; water ; minerals throughout the body
3342	1	ea61-1f68-79b7-f09f	soil is a kind of nonliving thing
3343	1	740e-55ec-8b5a-8ade	as energy required for an activity increases , pulse ; breathing rate will increase
3344	1	fcee-e796-d013-02ae	migration is a kind of behavior
3345	1	d314-35e4-3e7a-1c39	an object has properties
3346	1	3ee7-7f5c-c890-460e	a plant requires water to grow
3347	1	e063-a513-3c32-87b1	sitting on something provides warmth to that something
3348	1	a66c-c627-522c-4e3a	newly hatched is similar to just born
3349	1	9294-541c-2211-ce63	one is a kind of number
3350	1	b8a3-ad63-f3c1-078b	if members of a species are born ; survive then the population of that species increases
3351	1	c799-dee0-451a-dd60	an animal is a kind of consumer
3352	1	012f-b681-a0e0-376a	to be insulated means to have insulation
3353	1	c905-3709-1ccb-3bb6	being used for is similar to providing
3354	1	a61c-a47c-67a8-f86a	An example of camouflage is an organism looking like leaves
3355	1	095a-404f-6149-222c	shape is a kind of physical property
3356	1	b5f6-d3ac-47c9-1478	measures of length ; measures of distance are used to measure the amount of rainfall
3357	1	62a5-1149-2527-8c63	if something absorbs something else then that something will contain that something else
3358	1	67a2-4933-140d-2d35	as air pressure increases , the reading on a barometer will rise
3359	1	7149-5022-cd2c-b375	a battery is a kind of object
3360	1	49f5-727d-92b5-03aa	the Earth rotating on its axis causes stars to appear to move across the sky at night
3361	1	ac44-1bc1-1c8d-6525	a carrion flower has a carrion-like smell
3362	1	9714-8e2a-f6fb-91e4	animals adapt to their environment
3363	1	8091-5cea-a07b-4718	limbs are part of an animal
3364	1	cf94-2565-141e-044f	the continental shelf is shallow
3365	1	dae7-2f8d-73b1-9520	if a wheel travels on a surface then the wheel touches that surface
3366	1	fb95-007e-8829-b2aa	a seashell is a part of a crab
3367	1	3b34-899d-3adf-7bcb	An example of creating an alternative fuel is turning plant material into fuel
3368	1	c273-0baf-3d52-6fa4	when an animal eats or drinks something , that animal tastes that something
3369	1	73a5-fd93-9595-79df	a tectonic plate is a kind of object
3370	1	5029-9d16-9c77-acf3	a sheet of paper is a kind of object
3371	1	aa0a-838d-7fc9-a918	disappearing is similar to decreasing
3372	1	667d-b7b6-7a2f-41ac	building a tool requires knowing about the parts of that tool
3373	1	d248-e9d4-d37d-546e	ice is a kind of food
3374	1	8e54-4d09-bc9f-bdd1	cloth is a kind of material
3375	1	6572-f053-aaa7-25ce	newborn means just born
3376	1	63f8-0c28-2691-5e74	a turtle is a kind of reptile
3377	1	5a35-133a-dcf9-2e06	a wasp is a kind of insect
3378	1	5bed-2cfd-fe4d-324e	function means job
3379	1	b4bc-3e75-5b39-8122	raining is when rain falls from clouds to the Earth ; ground as a liquid
3380	1	e59c-b8d6-ebb0-b796	a horned lizard is a kind of lizard
3381	1	9793-b861-bc67-0e67	frying food is a kind of cooking
3382	1	2a71-fe32-5eeb-9a92	zinc has a positive impact on the healing of wounds
3383	1	c463-e7fe-1eeb-840d	the sun is average in size for a star in our galaxy
3384	1	4215-2fa0-919f-fb85	as the population of prey decreases , competition between predators will increase
3385	1	4da3-61dc-91ef-b4ad	a cushion is a kind of object
3386	1	bbbb-aba3-ad5e-4aa0	emit means send out
3387	1	ca00-8e56-17f5-9665	planting trees is sometimes a human activity
3388	1	d99b-5382-b496-b2fd	a ramp is a kind of object
3389	1	ab12-f588-a1af-90a0	an amoeba is a kind of single-celled organism
3390	1	b332-6003-5331-6516	operating a remote-control toy causes that toy to move
3391	1	c7ff-4b62-295c-7800	wood is a strong material
3392	1	e6c0-2039-84cd-c6dd	a windshield wiper is a kind of tool for increasing visibility while driving in bad weather
3393	1	44ff-d8ea-db34-6805	farming happens on a farm
3394	1	f245-df47-6b3e-b4f6	the composition of something can be used to identify that something
3395	1	65e8-ad8b-7ec0-23ce	xylem carries water from the roots of a plant to the leaves of a plant
3396	1	2ac7-87be-4297-8014	a trilobite is a kind of water animal
3397	1	a989-b05f-cf6d-e8ee	place ; location is synonymous with position
3398	1	fa55-09d9-2afb-4929	when snow falls in an environment in an environment , that environment will become white
3399	1	965d-32ef-32f1-71b5	tropical environments usually have warm temperatures
3400	1	718f-36ed-de51-9dfb	down feathers are a thermal ; thermal energy insulator
3401	1	0d5d-fcee-547a-e20c	a string is usually short in length with values between 2 and 1000 cm
3402	1	1966-99de-7765-39de	adding heat to something kills viruses ; bacteria in that something
3403	1	d234-71ad-ea30-a569	a long tail ; thick tail can be used to move through water by an animal
3404	1	afc8-98d8-094a-fc24	as the amount of food an animal eats increases , the weight of that animal will increase
3405	1	dd66-f128-9920-883e	if a cell can not specialize then that cell must perform all life functions
3406	1	b40f-032c-a3c4-57f2	a duck is a kind of bird
